# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 552
78.45 d4 0.18
78.63 g4 0.18
78.82 c5 0.18
79.01 a#4 1.42
86.65 d#5 0.18
86.65 a#5 0.18
87.02 d#5 0.18
87.02 a#5 0.18
87.39 d#5 0.18
87.39 a#5 0.18
87.76 d#5 0.18
87.76 a#5 0.18
88.14 d#5 0.18
88.14 a#5 0.18
88.51 d#5 0.18
88.51 a#5 0.18
88.88 d#5 0.18
88.88 a#5 0.18
89.25 d#5 0.18
89.25 a#5 0.18
89.44 a#4 2.83
89.44 d#5 2.83
92.42 f#4 2.12
92.42 b4 2.12
94.66 f4 0.71
94.66 a#4 0.71
95.40 d#4 2.83
95.40 a#4 2.83
98.39 f#4 2.12
98.39 b4 2.12
100.62 a#4 0.71
100.62 c#5 0.71
101.37 d#4 0.18
101.55 f4 0.18
101.74 f#4 0.18
101.93 g#4 0.18
102.11 a#4 0.35
102.48 d#4 0.18
102.67 c#5 0.18
102.86 a#4 0.35
103.23 d#4 0.35
103.60 a#4 0.18
103.79 g#4 0.18
103.98 f#4 0.18
104.16 f4 0.18
104.35 d#4 0.18
104.53 f4 0.18
104.72 f#4 0.18
104.91 g#4 0.18
105.09 a#4 0.35
105.47 g#4 0.18
105.65 f#4 0.18
105.84 f4 0.18
106.02 a#3 0.18
106.21 f4 0.18
106.40 f#4 0.18
106.58 f4 0.18
106.77 d#4 0.18
106.96 d4 0.18
107.14 f4 0.18
107.33 d#4 0.18
107.52 f4 0.18
107.70 f#4 0.18
107.89 g#4 0.18
108.07 a#4 0.35
108.45 g#4 0.18
108.63 c#5 0.18
108.82 d#5 0.35
109.19 d#5 0.35
109.57 f5 0.35
109.94 f#5 0.35
110.31 d#5 0.18
110.50 f5 0.18
110.68 f#5 0.18
110.87 g#5 0.18
111.06 a#5 0.35
111.43 g#5 0.18
111.61 f#5 0.18
111.80 g#5 0.35
112.17 f5 0.35
112.55 f#5 0.35
112.92 g#5 0.35
113.29 a#4 0.71
113.29 d#5 0.71
114.04 d#5 0.18
114.22 f5 0.18
114.41 f#5 0.35
114.78 c#5 0.53
114.78 f5 0.53
115.34 a#4 0.53
115.90 f5 0.35
116.27 c#5 0.35
116.27 f5 0.35
116.65 f#5 0.18
116.83 d#5 0.53
117.39 c#5 0.35
117.76 g#4 0.35
117.76 c#5 0.35
118.14 a#4 0.19
118.14 d#5 0.19
118.32 a#4 0.53
118.51 a#2 0.35
118.88 a#4 0.35
118.88 d#5 0.35
119.25 a#4 0.71
119.25 d#5 0.71
120.00 a#4 0.18
120.00 d#5 0.18
120.19 c#5 0.18
120.19 f5 0.18
120.37 d#5 0.35
120.37 f#5 0.35
120.75 c#5 0.53
120.75 f5 0.53
121.30 d#5 0.53
121.30 f#5 0.53
121.86 f5 0.35
121.86 g#5 0.35
122.24 a#4 0.53
122.24 d#5 0.53
122.80 f#5 0.18
122.80 a#5 0.18
122.98 f#5 1.42
122.98 a#5 1.42
124.47 f4 0.18
124.47 g#4 0.18
124.66 f#4 0.18
124.66 a#4 0.18
124.84 g#4 0.35
124.84 c#5 0.35
125.22 a#4 0.71
125.22 d#5 0.71
125.96 a#4 0.18
125.96 d#5 0.18
126.15 c#5 0.18
126.15 f5 0.18
126.34 d#5 0.35
126.34 f#5 0.35
126.71 c#5 0.53
126.71 f5 0.53
127.27 f#4 0.53
127.27 a#4 0.53
127.83 c#5 0.35
127.83 f5 0.35
128.20 c#5 0.35
128.20 f5 0.35
128.57 d#5 0.18
128.57 f#5 0.18
128.76 a#4 0.53
128.76 d#5 0.53
129.32 g#4 0.35
129.32 c#5 0.35
129.69 g#4 0.35
129.69 c#5 0.35
130.06 a#4 0.18
130.06 d#5 0.18
130.25 f#4 0.53
130.25 a#4 0.53
130.81 a#4 0.35
130.81 f5 0.35
131.18 a#4 0.71
131.18 d#5 0.71
131.93 a#4 0.18
131.93 d#5 0.18
132.11 c#5 0.18
132.11 f5 0.18
132.30 d#5 0.18
132.30 f#5 0.18
132.48 f5 0.18
132.48 g#5 0.18
132.67 c#5 0.53
132.67 f5 0.53
133.23 d#5 0.53
133.23 f#5 0.53
133.79 f5 0.35
133.79 g#5 0.35
134.16 a#4 0.53
134.16 d5 0.53
134.72 f4 0.53
134.72 a#4 0.53
135.28 f5 0.35
135.28 a#5 0.35
135.65 f5 0.35
135.65 g#5 0.35
136.02 d#5 0.35
136.02 f#5 0.35
136.40 d5 0.35
136.40 f5 0.35
136.77 d#5 0.35
136.77 f#5 0.35
137.14 g4 0.18
137.33 d4 0.35
137.70 g4 0.35
138.07 a#3 0.18
138.26 d4 0.18
138.45 f4 0.18
138.63 g4 0.18
138.82 d4 0.18
139.01 a#3 0.18
139.19 g4 0.35
139.57 g4 0.18
139.75 a4 0.18
139.94 a#4 0.18
140.12 g4 0.18
140.31 d4 0.35
140.68 g4 0.35
141.06 d4 0.18
141.24 g4 0.18
141.43 c5 0.18
141.61 a#4 0.71
142.36 a4 0.18
142.55 g4 0.18
142.73 d4 0.18
142.92 a#3 0.18
143.11 g4 0.18
143.29 d4 0.35
143.66 g4 0.35
144.04 a#3 0.18
144.22 d4 0.18
144.41 f4 0.18
144.60 g4 0.18
144.78 d4 0.18
144.97 a#3 0.18
145.16 g4 0.35
145.53 g4 0.18
145.71 a4 0.18
145.90 a#4 0.18
146.09 g4 0.18
146.27 d4 0.35
146.65 g4 0.35
147.02 d4 0.18
147.21 g4 0.18
147.39 c5 0.18
147.58 a#4 0.71
148.32 a4 0.35
148.70 a#4 0.35
149.07 g4 0.18
149.25 d4 0.35
149.63 g4 0.35
150.00 a#3 0.18
150.19 d4 0.18
150.37 f4 0.18
150.56 g4 0.18
150.75 d4 0.18
150.93 a#3 0.18
151.12 g4 0.35
151.49 g4 0.18
151.68 a4 0.18
151.86 a#4 0.18
152.05 g4 0.18
152.24 d4 0.35
152.61 g4 0.35
152.98 d4 0.18
153.17 g4 0.18
153.35 c5 0.18
153.54 a#4 0.71
154.29 a4 0.18
154.47 g4 0.18
154.66 d4 0.18
154.84 a#3 0.18
155.03 g4 0.18
155.22 d4 0.35
155.59 g4 0.35
155.96 a#3 0.18
156.15 d4 0.18
156.34 f4 0.18
156.52 g4 0.18
156.71 d4 0.18
156.89 a#3 0.18
157.08 g4 0.35
157.45 g4 0.18
157.64 a4 0.18
157.83 a#4 0.18
158.01 g4 0.18
158.20 d4 0.35
158.57 g4 0.35
158.94 d4 0.18
159.13 g4 0.18
159.32 c5 0.18
159.50 a#4 1.42
end

# Instrument: 

part
num_notes 822
0.00 d#2 0.19
0.37 d#2 0.19
0.75 d#2 0.19
1.12 d#2 0.19
1.49 d#2 0.19
1.86 d#2 0.19
2.24 d#2 0.19
2.61 d#2 0.19
2.98 d#2 0.18
3.17 a#2 0.18
3.35 g#2 0.18
3.54 a#2 0.18
3.73 f#2 0.18
3.91 a#2 0.18
4.10 f2 0.18
4.29 a#2 0.18
4.47 d#2 0.18
4.66 a#2 0.18
4.84 g#2 0.18
5.03 a#2 0.18
5.22 f#2 0.18
5.40 a#2 0.18
5.59 f2 0.18
5.78 a#2 0.18
5.96 d#2 0.18
6.15 a#2 0.18
6.34 g#2 0.18
6.52 a#2 0.18
6.71 f#2 0.18
6.89 a#2 0.18
7.08 f2 0.18
7.27 a#2 0.18
7.45 d#2 0.18
7.64 a#2 0.18
7.83 g#2 0.18
8.01 a#2 0.18
8.20 f#2 0.18
8.39 a#2 0.18
8.57 f2 0.18
8.76 a#2 0.18
8.94 d#2 0.18
9.13 a#2 0.18
9.32 g#2 0.18
