# Start of Music
bpm 60

num_parts 2

# Instrument: FL Keys (MIDI)

part
num_notes 401
94.00 f#5 0.12
94.25 c#5 0.12
94.50 f#5 0.12
94.75 c#5 0.12
95.00 f#5 0.12
95.25 c#5 0.12
95.50 f#5 0.12
95.75 c#5 0.12
96.00 g#4 0.12
96.25 d#5 0.12
96.50 a#4 0.12
96.75 d#5 0.12
97.00 b4 0.12
97.25 d#5 0.12
97.50 g#4 0.12
97.75 e4 0.12
98.00 e4 0.12
98.25 b4 0.12
98.50 e5 0.12
98.75 b4 0.12
99.00 e4 0.12
99.25 b4 0.12
99.50 e5 0.12
99.75 b4 0.12
100.00 b4 0.12
100.25 f#5 0.12
100.50 b4 0.12
100.75 f#5 0.12
101.00 b4 0.12
101.25 f#5 0.12
101.50 b4 0.12
101.75 f#5 0.12
102.00 f#5 0.12
102.25 c#5 0.12
102.50 f#5 0.12
102.75 c#5 0.12
103.00 f#5 0.12
103.25 c#5 0.12
103.50 f#5 0.12
103.75 c#5 0.12
104.00 g#3 0.25
104.25 b3 0.25
104.50 a#3 0.25
104.75 b3 0.25
105.00 b3 0.25
105.25 a#3 0.25
105.50 g#3 0.25
105.75 d#4 0.50
106.25 b3 0.25
106.50 g#3 0.25
106.75 b3 0.25
107.00 b3 0.25
107.25 c#4 0.25
107.50 b3 0.25
107.75 g#3 0.25
108.00 g#4 0.25
108.25 d#4 0.25
108.50 b3 0.25
108.75 g#4 0.25
109.00 d#4 0.25
109.25 b3 0.25
109.50 c#4 0.25
109.75 g#4 0.50
110.25 d#4 0.25
110.50 f#4 0.25
110.75 d#4 0.25
111.00 f#4 0.25
111.50 f#4 0.25
111.75 g#4 0.25
112.00 g#4 0.25
112.25 b4 0.25
112.50 a#4 0.25
112.75 b4 0.25
113.00 b4 0.25
113.25 a#4 0.25
113.50 g#4 0.25
113.75 c#5 0.50
114.25 b4 0.25
114.50 g#4 0.25
114.75 b4 0.25
115.00 c#5 0.25
115.25 b4 0.25
115.50 c#5 0.25
115.75 d#5 0.25
116.00 g#5 0.50
116.00 g#4 0.50
116.75 f#5 0.25
116.75 f#4 0.25
117.00 g#4 0.50
117.00 g#5 0.50
117.75 f#5 0.25
117.75 f#4 0.25
118.00 g#4 0.25
118.00 g#5 0.25
118.25 f#5 0.25
118.50 g#5 0.25
118.75 f#5 0.25
119.00 g#5 0.25
119.25 f#5 0.25
119.50 g#5 0.25
119.75 f#5 0.25
120.00 g#3 0.50
120.00 g#4 0.50
120.75 g#3 0.50
120.75 g#4 0.50
122.00 g#4 0.50
122.00 g#3 0.50
122.75 g#3 0.50
122.75 g#4 0.50
124.00 g#4 0.50
124.00 g#3 0.50
124.75 g#4 0.50
124.75 g#3 0.50
126.00 g#4 0.50
126.00 g#3 0.50
127.00 b4 0.25
127.00 b3 0.25
127.25 g#4 0.25
127.25 g#3 0.25
127.50 b4 0.25
127.50 b3 0.25
127.75 g#4 0.25
127.75 g#3 0.25
128.00 g#4 0.50
128.00 g#3 0.50
128.75 g#4 0.50
128.75 g#3 0.50
130.00 g#4 0.50
130.00 g#3 0.50
130.75 g#3 0.50
130.75 g#4 0.50
end

# Instrument: FL Keys #2 (MIDI)

part
num_notes 544
0.00 g#3 0.25
0.00 g#2 0.25
0.50 g#3 0.25
0.50 g#2 0.25
1.00 b3 0.25
1.00 b2 0.25
1.50 b3 0.25
1.50 b2 0.25
1.75 g#2 0.25
1.75 g#3 0.25
2.25 d#3 0.25
2.25 d#2 0.25
2.50 g#2 0.25
2.50 g#3 0.25
3.00 f#3 0.25
3.00 f#2 0.25
3.50 g3 0.25
3.50 g2 0.25
4.00 g#3 0.25
4.00 g#2 0.25
4.50 g#3 0.25
4.50 g#2 0.25
5.00 b3 0.25
5.00 b2 0.25
5.50 b3 0.25
5.50 b2 0.25
5.75 g#2 0.25
5.75 g#3 0.25
6.25 d#3 0.25
6.25 d#2 0.25
6.50 g#2 0.25
6.50 g#3 0.25
7.00 f#3 0.25
7.00 f#2 0.25
7.50 g3 0.25
7.50 g2 0.25
8.00 g#3 0.25
8.00 g#2 0.25
8.50 g#3 0.25
8.50 g#2 0.25
9.00 b3 0.25
9.00 b2 0.25
9.50 b3 0.25
9.50 b2 0.25
9.75 g#2 0.25
9.75 g#3 0.25
10.25 g#3 0.25
10.25 g#2 0.25
10.50 d#2 0.25
10.50 d#3 0.25
11.00 a#3 0.25
11.00 a#2 0.25
11.50 a#3 0.25
11.50 a#2 0.25
12.00 g#3 0.25
12.00 g#2 0.25
12.50 g#3 0.25
12.50 g#2 0.25
13.00 b3 0.25
13.00 b2 0.25
13.50 b3 0.25
13.50 b2 0.25
13.75 g#2 0.25
13.75 g#3 0.25
14.25 d#3 0.25
14.25 d#2 0.25
14.50 g#2 0.25
14.50 g#3 0.25
15.00 f#3 0.25
15.00 f#2 0.25
15.50 g3 0.25
15.50 g2 0.25
16.00 g#3 0.25
16.00 g#2 0.25
16.50 g#2 0.25
16.50 g#3 0.25
17.00 b2 0.25
17.00 b3 0.25
17.50 b2 0.25
17.50 b3 0.25
17.75 g#2 0.25
17.75 g#3 0.25
18.25 d#3 0.25
18.25 d#2 0.25
18.50 g#2 0.25
18.50 g#3 0.25
19.00 f#3 0.25
19.00 f#2 0.25
19.50 g3 0.25
19.50 g2 0.25
20.00 g#3 0.25
20.00 g#2 0.25
20.50 g#2 0.25
20.50 g#3 0.25
21.00 b2 0.25
21.00 b3 0.25
21.50 b2 0.25
21.50 b3 0.25
21.75 g#2 0.25
21.75 g#3 0.25
22.25 d#3 0.25
22.25 d#2 0.25
22.50 g#2 0.25
22.50 g#3 0.25
23.00 f#2 0.25
23.00 f#3 0.25
23.50 g2 0.25
23.50 g3 0.25
24.00 g#3 0.25
24.00 g#2 0.25
24.50 g#2 0.25
24.50 g#3 0.25
25.00 b3 0.25
25.00 b2 0.25
25.50 b3 0.25
25.50 b2 0.25
25.75 g#2 0.25
25.75 g#3 0.25
26.25 d#3 0.25
26.25 d#2 0.25
26.50 g#2 0.25
26.50 g#3 0.25
27.00 f#3 0.25
27.00 f#2 0.25
27.50 g3 0.25
27.50 g2 0.25
28.00 g#2 0.25
28.00 g#3 0.25
28.50 g#2 0.25
28.50 g#3 0.25
29.00 b2 0.25
29.00 b3 0.25
29.50 b2 0.25
29.50 b3 0.25
