# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 795
44.25 g6 0.12
44.38 f#6 0.12
44.50 g6 0.12
44.62 g#6 0.12
44.75 g6 0.12
44.88 f6 0.12
45.00 d#6 0.12
45.12 f6 0.12
45.25 d#6 0.12
45.38 d6 0.12
45.50 c6 0.12
45.62 d#6 0.12
45.75 d6 0.12
45.88 c6 0.12
46.00 b5 0.12
46.12 c6 0.12
46.25 d6 0.12
46.38 b5 0.12
46.50 g5 0.12
46.62 a5 0.12
46.75 b5 0.12
46.88 g5 0.12
47.00 a5 0.12
47.12 a#5 0.12
47.25 c6 0.12
47.38 a5 0.12
47.50 f#5 0.12
47.62 g5 0.12
47.75 a5 0.12
47.88 f#5 0.12
48.00 g5 0.50
48.50 f#5 0.12
48.62 g5 0.12
48.75 f#5 0.12
48.88 e5 0.12
49.00 d5 0.12
49.12 e5 0.12
49.25 d5 0.12
49.38 c#5 0.12
49.50 b4 0.12
49.62 d5 0.12
49.75 c#5 0.12
49.88 b4 0.12
50.00 a#4 0.12
50.12 b4 0.12
50.25 c#5 0.12
50.38 a#4 0.12
50.50 f#4 0.12
50.62 g#4 0.12
50.75 a#4 0.12
50.88 f#4 0.12
51.00 b4 0.12
51.12 a#4 0.12
51.25 b4 0.12
51.38 c#5 0.12
51.50 d5 0.12
51.62 c#5 0.12
51.75 d5 0.12
51.88 e5 0.12
52.00 f#5 0.12
52.12 f5 0.12
52.25 f#5 0.12
52.38 f5 0.12
52.50 f#5 0.12
52.62 g5 0.12
52.75 f#5 0.12
52.88 e5 0.12
53.00 d5 0.12
53.12 e5 0.12
53.25 d5 0.12
53.38 c#5 0.12
53.50 b4 0.12
53.62 d5 0.12
53.75 c#5 0.12
53.88 b4 0.12
54.00 a#4 0.12
54.12 b4 0.12
54.25 c#5 0.12
54.38 a#4 0.12
54.50 f#4 0.12
54.62 g#4 0.12
54.75 a#4 0.12
54.88 f#4 0.12
55.00 g#4 0.12
55.12 a4 0.12
55.25 b4 0.12
55.38 g#4 0.12
55.50 f4 0.12
55.62 f#4 0.12
55.75 g#4 0.12
55.88 f4 0.12
56.00 f#4 0.50
56.50 c5 0.12
56.62 a#4 0.12
56.75 a4 0.12
56.88 g4 0.12
57.00 f4 0.12
57.12 g4 0.12
57.25 a4 0.12
57.38 a#4 0.12
57.50 c5 0.12
57.62 d5 0.12
57.75 e5 0.12
57.88 f5 0.12
58.00 f5 0.12
58.12 e5 0.12
58.25 d5 0.12
58.38 c5 0.12
58.50 c5 0.12
58.62 a#4 0.12
58.75 a4 0.12
58.88 g4 0.12
59.00 f4 0.12
59.12 g4 0.12
59.25 a4 0.12
59.38 a#4 0.12
59.50 c5 0.12
59.62 d5 0.12
