# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 589
41.38 d5 0.59
41.38 g5 0.59
42.00 f5 0.24
42.00 a5 0.24
42.25 f5 0.24
42.25 a5 0.24
42.50 f5 0.12
42.50 a5 0.12
42.62 f5 0.12
42.62 a5 0.12
42.88 d5 0.12
42.88 g5 0.12
43.12 f5 0.12
43.12 a5 0.12
43.38 d6 0.24
43.62 a5 0.12
43.38 d5 0.59
43.75 g5 0.24
44.00 f5 0.25
44.00 d6 0.25
44.25 a5 0.25
44.50 g5 0.25
44.75 f5 0.25
45.00 e5 0.25
45.00 c6 0.25
45.25 g5 0.25
45.50 f5 0.25
45.75 e5 0.25
46.00 a#4 0.24
46.25 d5 0.12
46.38 e5 0.12
46.62 f5 0.12
46.88 e5 1.07
46.88 c6 1.07
49.00 d5 0.12
49.00 f5 0.12
49.12 a#4 0.12
49.12 d5 0.12
49.25 d5 0.12
49.25 f5 0.12
49.38 d5 0.12
49.38 g5 0.12
49.50 d5 0.12
49.50 g#5 0.12
49.62 d5 0.12
49.62 g5 0.12
49.75 d5 0.12
49.75 f5 0.12
49.88 a#4 0.12
49.88 d5 0.12
50.00 f5 0.06
50.00 g#5 0.06
50.06 e5 0.06
50.06 g5 0.06
50.12 d5 0.12
50.25 d5 0.24
50.25 f5 0.24
50.50 e5 0.95
50.50 g5 1.07
51.62 g#5 0.24
51.88 a5 0.12
52.00 c6 0.24
52.25 a5 0.12
52.38 g#5 0.12
52.50 g5 0.12
52.62 f5 0.12
52.75 d5 0.12
52.88 e5 0.12
53.00 f5 0.24
53.25 g5 0.24
53.50 a5 0.24
53.75 c6 0.24
54.00 c#6 0.24
54.25 g#5 0.24
54.50 g#5 0.12
54.62 g5 0.12
54.75 f5 0.12
54.88 g5 1.07
56.00 f4 0.24
56.00 d5 0.24
56.25 g4 0.24
56.25 e5 0.24
56.50 a4 0.24
56.50 f5 0.24
56.75 a5 0.24
56.75 f6 0.24
57.00 g5 0.47
57.00 e6 0.47
57.50 f5 0.47
57.50 d6 0.47
58.00 g5 0.47
58.00 e6 0.47
58.50 a5 0.47
58.50 f6 0.47
59.00 c6 0.47
59.00 g6 0.47
59.50 a5 0.47
59.50 e6 0.47
60.00 a6 0.95
61.00 a6 0.12
61.12 g#6 0.12
61.25 g6 0.12
61.38 f#6 0.12
61.50 f6 0.12
61.62 e6 0.12
61.75 d#6 0.12
60.00 d6 1.90
61.88 d6 0.02
62.00 g#5 0.95
62.00 c#6 0.95
62.50 d6 1.42
63.00 a#5 0.95
63.00 d#6 0.95
65.00 d5 0.12
65.00 f5 0.12
65.12 a#4 0.12
65.12 d5 0.12
65.25 d5 0.12
65.25 f5 0.12
65.38 d5 0.12
65.38 g5 0.12
65.50 d5 0.12
65.50 g#5 0.12
65.62 d5 0.12
65.62 g5 0.12
65.75 d5 0.12
65.75 f5 0.12
65.88 a#4 0.12
65.88 d5 0.12
66.00 f5 0.06
66.00 g#5 0.06
66.06 e5 0.06
66.06 g5 0.06
66.12 d5 0.12
66.25 d5 0.24
66.25 f5 0.24
66.50 e5 0.95
66.50 g5 1.07
67.62 g#5 0.24
67.88 a5 0.12
68.00 c6 0.24
68.25 a5 0.12
68.38 g#5 0.12
68.50 g5 0.12
68.62 f5 0.12
68.75 d5 0.12
68.88 e5 0.12
69.00 f5 0.24
69.25 g5 0.24
69.50 a5 0.24
69.75 c6 0.24
70.00 c#6 0.24
70.25 g#5 0.24
70.50 g#5 0.12
70.62 g5 0.12
70.75 f5 0.12
70.88 g5 1.07
72.00 f4 0.24
72.00 d5 0.24
72.25 g4 0.24
72.25 e5 0.24
72.50 a4 0.24
72.50 f5 0.24
72.75 a5 0.24
72.75 f6 0.24
73.00 g5 0.47
73.00 e6 0.47
73.50 f5 0.47
73.50 d6 0.47
74.00 g5 0.47
74.00 e6 0.47
74.50 a5 0.47
74.50 f6 0.47
75.00 c6 0.47
75.00 g6 0.47
75.50 a5 0.47
75.50 e6 0.47
76.00 a6 0.95
77.00 a6 0.12
77.12 g#6 0.12
77.25 g6 0.12
77.38 f#6 0.12
77.50 f6 0.12
77.62 e6 0.12
77.75 d#6 0.12
76.00 d6 1.90
77.88 d6 0.02
78.00 g#5 0.95
78.00 c#6 0.95
78.50 d6 1.42
79.00 a#5 0.95
79.00 d#6 0.95
80.00 a#3 1.42
81.50 f4 0.47
82.00 e4 0.95
83.00 d4 0.95
84.00 f4 1.90
88.00 a#3 1.42
89.50 f4 0.47
90.00 e4 0.95
91.00 d4 0.95
92.00 d4 2.37
94.50 d4 0.08
94.50 d4 0.08
94.50 d4 0.08
94.58 c#4 0.08
94.58 c#4 0.08
94.58 c#4 0.08
94.67 c4 0.08
94.67 c4 0.08
94.67 c4 0.08
94.75 b3 0.08
94.75 b3 0.08
94.75 b3 0.08
94.83 a#3 0.08
94.83 a#3 0.08
94.83 a#3 0.08
94.92 a3 0.08
94.92 a3 0.08
94.92 a3 0.08
95.00 g#3 0.08
95.00 g#3 0.08
95.00 g#3 0.08
95.08 g3 0.08
95.08 g3 0.08
95.08 g3 0.08
95.17 f#3 0.08
95.17 f#3 0.08
95.17 f#3 0.08
95.25 f3 0.08
95.25 f3 0.08
95.25 f3 0.08
95.33 e3 0.08
95.33 e3 0.08
95.33 e3 0.08
95.42 d#3 0.08
95.42 d#3 0.08
95.42 d#3 0.08
95.50 d3 0.47
96.00 a#3 1.42
97.50 f4 0.47
98.00 e4 0.95
99.00 d4 0.95
100.00 f4 1.90
102.00 g5 0.12
102.12 d6 0.12
102.25 f6 0.12
102.38 d6 0.12
102.50 g6 0.24
102.75 f6 0.24
103.00 d6 0.12
103.12 c6 0.12
103.50 g5 0.47
104.00 a#3 1.42
105.50 f4 0.47
106.00 e4 0.95
107.00 d4 0.95
