# Start of Music
bpm 40

num_parts 2

# Instrument: 

part
num_notes 19245
77.50 c#5 0.21
77.71 d5 0.31
78.02 e5 0.10
78.12 d5 0.10
76.67 g4 1.66
78.23 c#5 0.10
78.33 c#5 0.83
79.17 d5 0.83
78.33 f#4 1.66
80.00 a4 0.10
80.10 g4 0.10
80.21 a4 0.62
80.83 b4 0.31
81.15 a4 0.10
81.25 b4 0.10
81.35 a4 0.10
81.46 b4 0.10
81.56 a4 0.10
81.67 b4 0.10
81.77 a4 0.21
81.87 a4 0.10
81.98 b4 0.10
82.08 c5 0.10
82.19 d5 0.10
82.29 e5 0.21
82.50 e5 0.21
82.71 d5 0.21
82.92 c5 0.21
83.12 b4 0.21
83.33 a4 0.83
84.17 g4 0.41
84.58 g5 0.41
85.00 f#5 0.41
85.42 e5 0.20
85.62 f#5 0.10
85.73 d#5 0.10
85.83 e5 0.10
85.83 d#5 0.20
85.94 d#5 0.10
86.04 e5 1.04
87.08 a5 0.10
87.19 b5 0.10
87.29 a5 0.10
87.40 g5 0.10
87.50 a5 0.62
88.12 f#5 0.21
88.33 e5 0.83
89.17 d#5 0.41
89.58 b4 0.41
90.00 g5 0.62
90.62 f#5 0.21
90.83 f#5 0.41
91.25 e5 0.62
91.87 b4 0.21
92.08 c5 0.10
92.19 b4 0.10
92.29 a4 0.10
92.40 b4 0.10
92.50 g5 0.10
92.60 e5 0.31
92.92 f#5 0.10
93.02 d#5 0.31
93.33 d#5 0.41
93.75 e5 0.62
94.37 g4 0.21
94.58 f#4 0.21
94.79 e4 0.21
95.00 f#4 0.62
95.00 f#4 0.62
95.62 e5 0.21
95.83 e5 0.21
96.04 d#5 0.21
96.25 a5 0.41
96.25 c5 0.41
96.67 g5 0.41
96.67 b4 0.41
97.08 f#5 0.41
97.50 f#5 0.41
97.92 e5 0.20
98.12 f#5 0.10
97.08 a4 1.25
98.23 d#5 0.10
98.33 d#5 0.83
99.17 e5 0.83
98.33 g4 1.66
100.00 e5 0.41
100.42 d5 0.21
100.62 c5 0.21
100.83 b4 0.83
101.67 a4 0.41
102.08 b4 0.21
102.29 c5 0.21
102.50 d5 0.10
102.60 c5 0.10
102.71 b4 0.21
102.92 c5 0.10
103.02 b4 0.10
103.12 a4 0.21
103.33 a4 0.83
104.17 g4 0.41
104.58 a4 0.21
104.79 b4 0.21
105.00 c5 0.21
105.21 d5 0.21
105.42 c5 0.21
105.62 b4 0.21
105.83 c5 0.21
106.04 a4 0.21
106.25 e4 0.21
106.25 e4 0.21
106.46 a4 0.21
106.87 b4 0.21
107.08 a4 0.21
107.29 g4 0.21
106.67 c5 1.04
107.71 d5 0.21
107.92 c5 0.21
107.50 f#4 0.83
108.12 b4 0.21
108.33 c5 0.21
108.54 a4 0.21
108.75 f#4 0.21
108.75 f#4 0.21
108.96 a4 0.21
109.17 c5 0.21
109.37 e5 0.21
