# Start of Music
bpm 60

num_parts 1

# Instrument: 

part
num_notes 1447
50.54 c5 0.17
50.71 b4 0.17
50.89 a5 0.17
51.07 g5 0.17
51.25 f#5 0.17
51.43 g5 0.17
51.61 f#5 0.08
51.70 e5 0.08
51.79 b5 0.17
51.96 c6 0.17
52.14 f#5 0.51
52.68 e5 0.17
52.86 e5 1.36
54.46 e5 0.17
54.64 a5 0.17
54.82 g#5 0.17
55.00 a5 0.17
55.18 c6 0.17
55.36 a5 0.17
55.54 e5 0.17
55.71 a4 0.17
55.89 e5 0.17
56.07 a5 0.17
56.25 g#5 0.17
56.43 a5 0.17
56.61 c6 0.17
56.79 a5 0.17
56.96 e5 0.17
57.14 a4 0.17
57.32 c5 0.17
57.50 e5 0.17
57.68 f5 0.17
57.86 g#4 0.17
58.04 f5 0.17
58.21 e5 0.17
58.39 d5 0.17
58.57 c5 0.17
58.75 e5 0.17
58.93 g#5 0.17
59.11 a5 0.17
59.29 e4 0.17
59.46 d5 0.17
59.64 c5 0.17
59.82 b4 0.17
60.00 a4 0.17
60.18 c5 0.17
60.36 e5 0.17
60.54 f5 0.17
60.71 g#4 0.17
60.89 f5 0.17
61.07 e5 0.17
61.25 d5 0.17
61.43 c5 0.17
61.61 e5 0.17
61.79 g#5 0.17
61.96 a5 0.17
62.14 e4 0.17
62.32 d5 0.17
62.50 c5 0.17
62.68 b4 0.17
62.86 a4 0.17
63.04 c5 0.17
63.21 g#4 0.17
63.39 a4 0.17
63.57 f4 0.17
63.75 d5 0.17
63.93 g#4 0.17
64.11 a4 0.17
64.29 e4 0.17
64.46 c5 0.17
64.64 g#4 0.17
64.82 a4 0.17
65.00 d4 0.17
65.18 c5 0.17
65.36 b4 0.17
65.54 a4 0.17
65.71 g#4 0.17
65.89 e4 0.17
66.07 g#4 0.17
66.25 b4 0.17
66.43 e5 0.17
66.61 g#5 0.17
66.79 b5 0.17
66.96 d6 0.17
67.14 f5 0.17
67.32 d6 0.17
67.50 b5 0.17
67.68 g#5 0.17
67.86 e5 0.17
68.04 d5 0.17
68.21 c5 0.17
68.39 b4 0.17
68.57 c5 0.17
68.75 a4 0.17
68.93 c5 0.17
69.11 e5 0.17
69.29 a5 0.17
69.46 c6 0.17
69.64 e6 0.17
69.82 f5 0.17
70.00 g5 0.17
70.18 a#5 0.17
70.36 g5 0.17
70.54 e5 0.17
70.71 c5 0.17
70.89 a#4 0.17
71.07 a4 0.17
71.25 g4 0.17
71.43 a4 0.17
71.61 f4 0.17
71.79 a4 0.17
71.96 c5 0.17
72.14 d5 0.17
72.32 f5 0.17
72.50 a5 0.17
72.68 c5 0.17
72.86 b4 0.17
73.04 g4 0.17
73.21 b4 0.17
73.39 d5 0.17
73.57 e5 0.17
73.75 g5 0.17
73.93 b5 0.17
74.11 d5 0.17
74.29 c5 0.17
74.46 a4 0.17
74.64 c5 0.17
74.82 e5 0.17
75.00 f5 0.17
75.18 a5 0.17
75.36 c6 0.17
75.54 e5 0.17
75.71 d5 0.17
75.89 b4 0.17
76.07 d5 0.17
76.25 f#5 0.17
76.43 g5 0.17
76.61 b5 0.17
76.79 d6 0.17
76.96 f5 0.17
77.14 e5 0.17
77.32 g5 0.17
77.50 c6 0.17
77.68 b5 0.17
77.86 c6 0.17
78.04 e6 0.17
78.21 c6 0.17
78.39 g5 0.17
78.57 c5 0.17
78.75 g5 0.17
78.93 c6 0.17
79.11 b5 0.17
79.29 c6 0.17
79.46 e6 0.17
79.64 c6 0.17
79.82 g5 0.17
80.00 c5 0.17
80.18 g5 0.17
80.36 a#5 0.17
80.54 a5 0.17
80.71 a#5 0.17
80.89 e6 0.17
81.07 a#5 0.17
81.25 g5 0.17
81.43 c5 0.17
81.61 g5 0.17
81.79 a#5 0.17
81.96 a5 0.17
82.14 a#5 0.17
82.32 e6 0.17
82.50 a#5 0.17
82.68 g5 0.17
82.86 c#5 0.17
83.04 g5 0.17
83.21 a#5 0.17
83.39 a5 0.17
83.57 a#5 0.17
83.75 e6 0.17
83.93 a#5 0.17
84.11 g5 0.17
84.29 c#5 0.17
84.46 g5 0.17
84.64 e5 0.17
84.82 c#5 0.17
85.00 a4 0.17
85.18 g4 0.17
85.36 f4 0.17
85.54 e4 0.17
85.71 d4 0.17
85.89 g5 0.17
86.07 f5 0.17
86.25 e5 0.17
86.43 f5 0.17
86.61 a5 0.17
86.79 f5 0.17
