# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 1

# Instrument: Elec. Piano (Classic)

part
num_notes 905
51.30 a4 0.30 0.39
51.60 b4 0.30 0.39
51.60 f4 0.45 0.39
51.90 c5 0.30 0.39
52.20 e5 0.30 0.39
52.50 d5 0.30 0.39
52.20 c4 1.65 0.39
52.80 g4 1.20 0.39
54.00 d5 0.30 0.39
54.30 c5 0.30 0.39
54.60 b4 0.60 0.39
54.00 b3 1.20 0.39
55.20 g4 0.60 0.39
55.20 g3 0.60 0.39
55.80 a4 1.20 0.39
55.80 e4 1.35 0.39
55.80 a3 1.35 0.39
57.60 e5 0.15 0.39
57.60 a5 0.15 0.39
57.90 e5 0.15 0.39
57.90 a5 0.15 0.39
58.20 e5 0.15 0.39
58.50 c#5 0.15 0.39
58.50 e5 0.15 0.39
58.80 a4 0.15 0.39
58.80 c#5 0.15 0.39
59.10 a4 0.15 0.39
59.10 c#5 0.15 0.39
59.40 e5 0.15 0.39
59.40 a5 0.15 0.39
59.70 e5 0.15 0.39
59.70 a5 0.15 0.39
60.00 c#5 0.15 0.39
60.00 e5 0.15 0.39
60.30 e5 0.15 0.39
60.30 c#5 0.15 0.39
60.60 c#5 0.15 0.39
60.60 a4 0.15 0.39
60.90 a4 0.15 0.39
60.90 c#5 0.15 0.39
61.20 e5 0.15 0.39
61.20 b4 0.15 0.39
61.50 e5 0.15 0.39
61.50 b4 0.15 0.39
61.80 g4 0.15 0.39
61.80 b4 0.15 0.39
62.10 g4 0.15 0.39
62.10 b4 0.15 0.39
62.40 e4 0.15 0.39
62.40 g4 0.15 0.39
62.70 g4 0.15 0.39
62.70 e4 0.15 0.39
63.00 b4 0.15 0.39
63.00 e5 0.15 0.39
63.30 e5 0.15 0.39
63.30 b4 0.15 0.39
63.60 b4 0.15 0.39
63.60 g4 0.15 0.39
63.90 g4 0.15 0.39
63.90 b4 0.15 0.39
64.20 g4 0.15 0.39
64.20 e4 0.15 0.39
64.50 e4 0.15 0.39
64.50 g4 0.15 0.39
64.80 e5 0.15 0.39
65.10 e5 0.15 0.39
65.10 a5 0.15 0.39
65.40 c#5 0.15 0.39
65.40 e5 0.15 0.39
65.70 e5 0.15 0.39
65.70 c#5 0.15 0.39
66.00 c#5 0.15 0.39
66.00 a4 0.15 0.39
66.30 c#5 0.15 0.39
66.30 a4 0.15 0.39
66.60 a5 0.15 0.39
66.60 e5 0.15 0.39
66.90 e5 0.15 0.39
66.90 a5 0.15 0.39
67.20 c#5 0.15 0.39
67.50 c#5 0.15 0.39
67.50 e5 0.15 0.39
67.80 c#5 0.15 0.39
67.80 a4 0.15 0.39
68.10 c#5 0.15 0.39
68.10 a4 0.15 0.39
68.40 b4 0.15 0.39
68.40 e5 0.15 0.39
68.70 b4 0.15 0.39
68.70 e5 0.15 0.39
69.00 b4 0.15 0.39
69.00 g4 0.15 0.39
69.30 g4 0.15 0.39
69.30 b4 0.15 0.39
69.60 e4 0.15 0.39
69.60 g4 0.15 0.39
69.90 e4 0.15 0.39
69.90 g4 0.15 0.39
70.20 b4 0.15 0.39
70.20 e5 0.15 0.39
70.50 b4 0.15 0.39
70.50 e5 0.15 0.39
70.80 b4 0.15 0.39
70.80 g4 0.15 0.39
71.10 g4 0.15 0.39
71.10 b4 0.15 0.39
71.40 e4 0.15 0.39
71.40 g4 0.15 0.39
71.70 g4 0.15 0.39
71.70 e4 0.15 0.39
72.00 e5 0.15 0.39
