# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 342
32.00 d#5 1.20
32.00 b4 1.20
32.00 f#4 1.20
33.20 f#4 0.40
33.20 f#5 0.40
33.20 d#5 0.40
33.20 b4 0.40
33.60 f4 0.40
33.60 a#4 0.40
33.60 f5 0.40
34.00 f4 0.80
34.00 a#4 0.80
34.00 c#5 0.80
34.80 c#4 0.40
34.80 f4 0.40
34.80 a#4 0.40
35.20 e4 0.20
35.20 c5 0.20
35.40 c5 0.10
35.50 d5 0.10
35.40 e4 0.20
35.80 e4 0.10
35.90 f4 0.10
36.00 g4 0.20
36.20 g4 0.10
36.30 a4 0.10
35.60 e5 0.80
36.40 a#4 0.20
36.60 c5 0.20
36.40 g5 0.40
36.80 a4 0.20
36.80 f5 0.20
37.00 a3 0.10
37.00 c4 0.10
37.00 f4 0.10
37.10 a3 0.10
37.10 c4 0.10
37.10 f4 0.10
37.20 a3 0.20
37.20 c4 0.20
37.20 f4 0.20
37.40 a3 0.10
37.40 c4 0.10
37.40 f4 0.10
37.50 a3 0.10
37.50 c4 0.10
37.50 f4 0.10
37.60 a3 0.20
37.60 c4 0.20
37.60 f4 0.20
37.80 a3 0.10
37.80 c4 0.10
37.80 f4 0.10
37.90 a3 0.10
37.90 c4 0.10
37.90 f4 0.10
38.00 a3 0.20
38.00 c4 0.20
38.00 f4 0.20
38.20 a3 0.20
38.20 c4 0.20
38.20 f4 0.20
38.40 a#3 1.60
38.40 a#4 1.60
38.40 f4 1.60
38.40 d4 1.60
end

# Instrument: 

part
num_notes 300
0.00 a#1 0.40
0.00 a#2 0.40
0.40 a#1 0.13
0.40 a#2 0.13
0.53 a#1 0.13
0.53 a#2 0.13
0.67 a#1 0.13
0.67 a#2 0.13
0.80 a#1 0.40
0.80 a#2 0.40
1.20 a#1 0.40
1.20 a#2 0.40
1.60 g#1 0.40
1.60 g#2 0.40
2.00 g#1 0.13
2.00 g#2 0.13
2.13 g#1 0.13
2.13 g#2 0.13
2.27 g#1 0.13
2.27 g#2 0.13
2.40 g#1 0.40
2.40 g#2 0.40
2.80 g#1 0.40
2.80 g#2 0.40
3.20 f#1 0.40
3.20 f#2 0.40
3.60 f#1 0.13
3.60 f#2 0.13
3.73 f#1 0.13
3.73 f#2 0.13
3.87 f#1 0.13
3.87 f#2 0.13
4.00 f#1 0.40
4.00 f#2 0.40
4.40 f#1 0.40
