# Start of Music
bpm 60

num_parts 13

part
num_notes 1319
45.06 a4 0.19
45.06 c#5 0.22
45.30 a4 0.23
45.31 e5 0.22
45.30 c#5 0.25
45.06 a3 0.53
45.55 e4 0.18
45.55 f#5 0.19
46.05 a3 0.27
46.29 d4 0.25
45.80 f#5 0.75
46.55 f#4 0.18
46.04 d3 0.83
46.80 d4 0.17
47.05 b3 0.27
47.30 d4 0.26
47.05 b2 0.56
47.55 b3 0.24
47.56 f#4 0.32
47.82 b2 0.24
47.81 d4 0.25
48.06 a3 0.25
48.31 d4 0.26
48.07 d3 0.55
48.56 a3 0.22
48.81 d3 0.21
48.81 d4 0.23
48.56 f#4 0.50
49.05 b3 0.26
49.30 d4 0.27
49.05 b2 0.57
49.56 b3 0.22
49.79 b2 0.23
49.55 f#4 0.49
49.80 d4 0.25
50.05 a3 0.26
50.30 d4 0.27
50.06 d3 0.55
50.56 a3 0.22
50.56 f#4 0.28
50.82 d3 0.20
50.80 d4 0.26
51.06 b3 0.22
51.30 d4 0.25
51.55 b3 0.22
51.55 f#4 0.29
51.80 d4 0.25
51.06 b2 1.00
52.05 d3 0.25
52.05 a3 0.27
52.30 d4 0.26
52.55 f#4 0.24
52.80 d4 0.18
52.80 a4 0.25
53.06 g5 0.22
53.05 b4 0.25
53.05 b3 0.30
53.30 f#5 0.22
53.05 b2 0.48
53.55 b3 0.19
53.55 e5 0.20
53.80 e5 0.25
54.05 f#4 0.32
54.30 a3 0.23
54.04 d3 0.51
54.56 d4 0.22
54.79 a3 0.18
54.55 d5 0.54
55.04 f#4 0.25
54.05 f#5 1.27
55.04 b2 0.31
55.06 b4 0.47
55.31 f#3 0.43
55.79 b3 0.23
55.55 f#4 0.73
55.55 d5 0.82
56.31 a3 0.22
56.05 d3 0.49
56.05 a4 0.53
56.56 d4 0.23
56.56 f#4 0.24
56.81 a3 0.17
56.81 a4 0.18
57.06 b4 0.24
57.07 g5 0.25
57.07 b2 0.41
57.31 f#5 0.21
57.31 f#3 0.22
57.56 e5 0.18
57.56 b3 0.42
57.80 f#3 0.18
58.06 f#4 0.28
57.81 e5 0.56
58.31 a3 0.21
58.06 d3 0.49
58.56 f#4 0.22
58.56 f#5 0.22
58.56 d4 0.24
58.81 a3 0.17
58.80 d5 0.50
59.06 b2 0.27
59.06 b4 0.47
59.31 f#3 0.23
59.30 e5 0.50
59.55 b3 0.42
59.80 f#3 0.18
59.55 f#4 0.69
60.04 d3 0.48
60.30 a3 0.23
59.80 a4 0.79
60.55 f#4 0.19
60.55 d4 0.22
60.80 a3 0.17
61.06 d4 0.24
61.06 b2 0.28
61.55 d4 0.18
61.55 f#4 0.19
61.30 f#3 0.46
61.80 b3 0.18
62.05 a4 0.27
62.06 e5 0.44
62.06 d5 0.47
62.31 e4 0.25
62.55 f#5 0.20
62.05 e3 0.82
62.80 a4 0.22
62.80 g5 0.25
62.81 d5 0.45
63.05 e4 0.24
63.30 a4 0.20
63.55 a4 0.18
63.55 e5 0.18
63.55 d5 0.18
63.81 e3 0.17
64.04 a2 0.26
64.05 c#5 0.27
64.04 e4 0.29
64.05 a4 0.29
64.31 e3 0.17
64.54 d5 0.21
64.79 e4 0.22
64.79 e5 0.27
