# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 2

# Instrument: Acoustic Grand Piano

part
num_notes 269
35.09 a5 0.19 0.41
35.28 a5 0.19 0.43
34.90 c5 0.56 0.56
34.90 a4 0.56 0.45
35.47 f5 0.38 0.50
35.84 a5 0.19 0.50
35.47 c5 0.56 0.55
35.47 a4 0.56 0.44
36.03 g5 0.38 0.54
36.40 a5 0.19 0.51
36.03 b4 0.56 0.59
36.03 g4 0.56 0.48
36.59 g5 0.38 0.50
36.97 c5 0.19 0.50
37.15 c5 0.19 0.51
36.59 b4 0.75 0.55
36.59 g4 0.75 0.44
37.34 e5 0.19 0.50
37.53 a#5 0.56 0.54
38.09 a5 0.56 0.50
37.53 d5 1.50 0.59
37.53 a#4 1.50 0.48
38.65 g5 0.56 0.51
39.22 f5 0.56 0.50
39.97 c5 0.19 0.50
39.78 e5 0.38 0.53
40.34 e5 0.19 0.50
40.15 d5 0.38 0.51
40.53 a4 0.56 0.54
41.09 b4 0.56 0.50
40.53 c5 1.12 0.54
41.65 c5 0.56 0.51
42.22 d5 0.56 0.50
42.97 c5 0.19 0.41
42.78 e5 0.38 0.53
43.15 c5 0.19 0.42
43.34 e5 0.19 0.41
43.15 a5 0.38 0.51
43.53 g#5 0.56 0.54
44.09 g5 0.56 0.50
43.53 d#5 1.50 0.54
44.65 f5 0.56 0.51
45.22 d#5 0.56 0.50
45.78 c5 0.38 0.53
46.15 d#5 0.38 0.51
46.72 g5 0.19 0.50
46.90 a5 0.19 0.51
46.53 c6 0.75 0.54
47.09 g5 0.38 0.50
47.47 a5 0.19 0.50
47.65 e6 0.19 0.51
47.28 c6 0.75 0.53
48.03 e7 0.19 0.54
48.22 e7 0.19 0.50
48.40 f7 0.19 0.51
48.59 e7 0.19 0.50
48.78 g7 0.19 0.53
48.97 e7 0.19 0.50
49.15 e7 0.19 0.51
49.34 c7 0.19 0.50
end

# Instrument: Acoustic Grand Piano

part
num_notes 355
0.19 a1 0.19 0.37
0.38 a2 0.19 0.42
0.56 a1 0.19 0.37
0.75 a#1 0.19 0.40
0.94 a#2 0.19 0.41
1.13 b1 0.19 0.39
1.32 b2 0.19 0.41
1.51 c4 0.19 0.54
1.70 c4 0.19 0.50
1.89 c4 0.19 0.51
1.51 b4 0.57 0.59
1.51 g4 0.57 0.48
2.08 c4 0.19 0.50
2.26 c4 0.19 0.53
2.45 c4 0.19 0.50
2.08 a4 0.56 0.55
2.08 f4 0.56 0.44
2.64 c4 0.19 0.51
2.83 c4 0.19 0.50
3.01 c4 0.19 0.54
2.64 b4 0.56 0.56
2.64 g4 0.56 0.45
3.20 c4 0.19 0.50
3.39 c4 0.19 0.51
3.58 c4 0.19 0.50
3.20 a4 0.56 0.55
3.20 f4 0.56 0.44
3.76 c4 0.19 0.53
3.95 c4 0.19 0.50
3.76 b4 0.38 0.57
3.76 g4 0.38 0.46
4.14 c4 0.19 0.51
4.33 c4 0.19 0.50
4.14 a4 0.38 0.56
4.14 f4 0.38 0.45
4.51 c4 0.19 0.54
4.70 c4 0.19 0.50
4.89 c4 0.19 0.51
4.51 c5 0.56 0.59
4.51 a4 0.56 0.48
5.08 c4 0.19 0.50
5.26 c4 0.19 0.53
5.45 c4 0.19 0.50
5.08 b4 0.56 0.55
5.08 g4 0.56 0.44
5.64 c4 0.19 0.51
5.83 c4 0.19 0.50
6.01 c4 0.19 0.54
6.20 c4 0.19 0.50
6.39 a3 0.19 0.51
6.58 a3 0.19 0.50
6.76 a#3 0.19 0.53
6.95 a#3 0.19 0.50
7.14 b3 0.19 0.51
7.33 b3 0.19 0.50
5.64 a4 1.89 0.56
5.64 f4 1.89 0.45
7.53 c4 0.19 0.54
7.72 c4 0.19 0.50
7.90 c4 0.19 0.51
7.53 a4 0.57 0.59
7.53 f4 0.57 0.48
8.09 c4 0.19 0.50
8.28 c4 0.19 0.53
8.47 c4 0.19 0.50
8.09 b4 0.56 0.55
8.09 g4 0.56 0.44
8.65 c4 0.19 0.51
8.84 c4 0.19 0.50
8.65 c5 0.38 0.56
8.65 a4 0.38 0.45
9.03 c4 0.19 0.54
9.22 c4 0.19 0.50
9.40 c4 0.19 0.51
9.03 a4 0.56 0.59
9.03 f4 0.56 0.48
9.59 c4 0.19 0.50
9.78 c4 0.19 0.53
9.97 c4 0.19 0.50
9.59 b4 0.56 0.55
9.59 g4 0.56 0.44
10.15 c4 0.19 0.51
10.34 c4 0.19 0.50
10.15 c5 0.38 0.56
10.15 a4 0.38 0.45
10.53 c4 0.19 0.54
10.72 c4 0.19 0.50
10.90 c4 0.19 0.51
10.53 c5 0.56 0.59
10.53 a4 0.56 0.48
11.09 c4 0.19 0.50
11.28 c4 0.19 0.53
11.47 c4 0.19 0.50
11.65 c4 0.19 0.51
11.84 c4 0.19 0.50
12.03 c3 0.19 0.54
12.22 c3 0.19 0.50
12.40 c3 0.19 0.50
12.59 c3 0.19 0.50
12.78 c3 0.19 0.52
12.97 c3 0.19 0.50
13.15 d3 0.19 0.51
13.34 e3 0.19 0.50
11.09 b4 2.44 0.55
11.09 g4 2.44 0.44
13.53 f3 0.19 0.54
13.72 f3 0.19 0.50
13.53 e4 0.38 0.45
13.90 f3 0.19 0.51
14.09 f3 0.19 0.50
13.90 c4 0.38 0.42
14.28 f3 0.19 0.53
14.47 f3 0.19 0.50
14.28 a3 0.38 0.43
14.65 f3 0.38 0.42
14.84 f3 0.19 0.50
15.03 e3 0.19 0.54
15.22 e3 0.19 0.50
15.03 d4 0.38 0.45
15.40 e3 0.19 0.51
15.59 e3 0.19 0.50
15.40 b3 0.38 0.42
15.78 e3 0.19 0.53
15.97 c3 0.19 0.50
15.78 g3 0.38 0.43
16.15 d3 0.19 0.51
16.34 e3 0.19 0.50
16.15 d4 0.38 0.42
16.53 f3 0.19 0.54
16.72 f3 0.19 0.50
16.53 e4 0.38 0.45
16.90 f3 0.19 0.51
17.09 f3 0.19 0.50
16.90 c4 0.38 0.42
17.28 f3 0.19 0.53
17.47 f3 0.19 0.50
17.28 a3 0.38 0.43
17.65 f3 0.38 0.42
17.84 f3 0.19 0.50
18.03 e3 0.19 0.54
18.22 e3 0.19 0.50
18.03 d4 0.38 0.45
18.40 e3 0.19 0.51
18.59 e3 0.19 0.50
18.40 b3 0.38 0.42
18.78 e3 0.19 0.53
18.97 c3 0.19 0.50
18.78 g3 0.38 0.43
19.15 d3 0.19 0.51
19.34 e3 0.19 0.50
19.15 d4 0.38 0.42
19.53 f3 0.19 0.54
19.72 f3 0.19 0.50
19.53 e4 0.38 0.45
19.90 f3 0.19 0.51
20.09 f3 0.19 0.50
19.90 c4 0.38 0.42
20.28 f3 0.19 0.53
20.47 f3 0.19 0.50
20.28 a3 0.38 0.43
20.65 f3 0.38 0.42
20.84 f3 0.19 0.50
21.03 e3 0.19 0.54
21.22 e3 0.19 0.50
21.03 d4 0.38 0.45
21.40 e3 0.19 0.51
21.59 e3 0.19 0.50
21.40 b3 0.38 0.42
21.78 e3 0.19 0.53
21.97 c3 0.19 0.50
21.78 g3 0.38 0.43
22.15 d3 0.19 0.51
