# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 2

# Instrument: Acoustic Grand Piano

part
num_notes 116
24.82 e3 0.25 0.41
25.07 a2 0.25 0.43
25.32 e3 0.25 0.41
25.57 a2 0.25 0.42
25.82 e3 0.25 0.41
26.07 g#2 0.25 0.45
26.32 e3 0.25 0.41
26.57 g#2 0.25 0.42
26.82 e3 0.25 0.41
27.07 g#2 0.25 0.43
27.32 e3 0.25 0.41
27.57 g#2 0.25 0.42
27.82 e3 0.25 0.41
28.07 a2 0.25 0.45
28.32 e3 0.25 0.41
28.57 a2 0.25 0.42
28.82 e3 0.25 0.41
29.07 a2 0.25 0.43
29.32 e3 0.25 0.41
29.57 a2 0.25 0.42
29.82 e3 0.25 0.41
30.07 g#2 0.25 0.45
30.32 e3 0.25 0.41
30.57 g#2 0.25 0.42
30.82 e3 0.25 0.41
31.07 g#2 0.25 0.43
31.32 e3 0.25 0.41
31.57 g#2 0.25 0.42
31.82 e3 0.25 0.41
end
