# Start of Music
bpm 60

num_parts 2

# Instrument: Right Hand

part
num_notes 1682
30.41 d5 0.07
30.49 a#4 0.14
30.66 d5 0.14
30.66 g5 0.14
30.82 e5 0.14
30.82 a5 0.14
30.99 a4 0.07
31.07 e5 0.07
31.07 a5 0.07
31.15 a4 0.14
31.32 e5 0.14
31.32 a5 0.14
31.48 f5 0.14
31.48 a#5 0.14
31.65 d5 0.14
31.81 f5 0.14
31.81 b5 0.14
31.98 d5 0.14
32.14 e5 0.55
32.14 g5 0.55
32.14 c6 0.55
32.80 f4 0.14
32.80 a4 0.14
32.97 d5 0.14
32.97 f5 0.14
33.13 e5 0.07
33.21 f5 0.07
33.30 e5 0.14
33.46 c5 0.14
33.46 g5 0.14
33.63 f5 0.14
33.79 e5 0.07
33.87 f5 0.07
33.96 e5 0.07
34.04 c5 0.07
34.12 d5 0.14
34.29 f5 0.14
34.29 a5 0.14
34.45 g5 0.07
34.53 a5 0.07
34.62 g5 0.07
34.70 a5 0.07
34.78 f5 0.14
34.78 c6 0.14
34.95 a5 0.14
35.11 g5 0.14
35.27 a5 0.14
35.44 f4 0.14
35.44 a4 0.14
35.60 d5 0.14
35.60 f5 0.14
35.77 e5 0.07
35.85 f5 0.07
35.93 e5 0.14
36.10 c5 0.14
36.10 g5 0.14
36.26 f5 0.14
36.43 e5 0.07
36.51 f5 0.07
36.59 e5 0.07
36.68 c5 0.07
36.76 d5 0.14
36.92 f5 0.14
36.92 a5 0.14
37.09 g5 0.07
37.17 a5 0.07
37.25 g5 0.07
37.34 a5 0.07
37.42 f5 0.14
37.42 c#6 0.14
37.58 a5 0.14
37.75 g5 0.14
37.91 a5 0.14
38.08 f4 0.14
38.08 a4 0.14
38.24 d5 0.14
38.24 f5 0.14
38.41 e5 0.07
38.49 f5 0.07
38.57 e5 0.14
38.74 c5 0.14
38.74 g5 0.14
38.90 f5 0.14
39.07 e5 0.07
39.15 f5 0.07
39.23 e5 0.07
39.31 c5 0.07
39.40 d5 0.14
39.56 f5 0.14
39.56 a5 0.14
39.73 g5 0.07
39.81 a5 0.07
39.89 g5 0.07
39.97 a5 0.07
40.05 f5 0.14
40.05 c6 0.14
40.22 a5 0.14
40.38 f5 0.14
40.55 f#5 0.14
40.71 g4 0.14
40.71 d5 0.14
40.71 g5 0.14
40.88 a#4 0.07
40.96 d5 0.07
41.04 a#4 0.14
41.21 d5 0.14
41.21 g5 0.14
41.37 c5 0.14
41.37 e5 0.14
41.37 a5 0.14
41.54 g5 0.14
41.70 f5 0.14
41.87 e5 0.14
42.03 f4 1.10
42.03 a4 1.10
42.03 d5 1.10
43.35 a3 0.14
43.52 f4 0.14
43.68 e4 0.07
43.77 f4 0.07
43.85 e4 0.14
44.02 g4 0.14
44.18 f4 0.14
44.35 e4 0.07
44.43 f4 0.07
44.52 e4 0.07
44.60 c4 0.07
44.68 d4 0.14
44.85 a4 0.14
45.02 g4 0.07
45.10 a4 0.07
45.18 g4 0.07
45.27 a4 0.07
45.35 c5 0.14
45.52 a4 0.14
45.68 g4 0.14
45.85 a4 0.14
46.02 a3 0.14
46.18 f4 0.14
46.35 e4 0.07
46.43 f4 0.07
46.52 e4 0.14
46.68 g4 0.14
46.85 f4 0.14
47.02 e4 0.07
47.10 f4 0.07
47.18 e4 0.07
47.27 c4 0.07
47.35 d4 0.14
47.52 a4 0.14
47.68 g4 0.07
47.77 a4 0.07
47.85 g4 0.07
47.93 a4 0.07
48.02 c5 0.14
48.18 a4 0.14
48.35 g4 0.14
48.52 e4 0.14
48.68 f4 0.14
48.85 e4 0.07
48.93 f4 0.07
49.02 e4 0.14
49.18 c4 0.14
49.35 d4 0.14
49.52 c4 0.14
49.68 g3 0.14
49.85 e3 0.14
50.02 d3 0.14
50.18 e3 0.14
50.35 f3 0.14
50.52 g3 0.14
50.68 a3 0.14
50.85 c#4 0.14
51.02 d4 0.14
51.18 e4 0.14
51.35 a3 0.14
51.35 c#4 0.14
51.52 a4 0.14
51.68 g4 0.07
51.77 a4 0.07
51.85 g4 0.07
51.93 a4 0.07
52.02 e4 0.14
52.02 c#5 0.14
52.18 a4 0.14
52.35 g4 0.07
52.43 a4 0.07
52.52 g4 0.14
52.68 a3 0.14
52.68 c#4 0.14
52.85 c#5 0.14
53.02 a4 0.07
53.10 d5 0.07
53.18 a4 0.07
53.27 d5 0.07
53.35 e5 0.14
53.52 g4 0.14
53.68 f4 0.14
53.85 e4 0.14
54.02 a3 0.14
54.18 f4 0.14
54.35 e4 0.07
54.43 f4 0.07
54.51 e4 0.14
54.67 g4 0.14
54.84 f4 0.14
55.00 e4 0.07
55.08 f4 0.07
55.17 e4 0.07
55.25 c4 0.07
55.33 d4 0.14
55.49 a4 0.14
55.66 g4 0.07
55.74 a4 0.07
55.82 g4 0.07
55.90 a4 0.07
55.99 c5 0.14
56.15 a4 0.14
56.31 g4 0.14
56.48 a4 0.14
56.64 a3 0.14
56.81 f4 0.14
56.97 e4 0.07
57.05 f4 0.07
57.13 e4 0.14
57.30 g4 0.14
57.46 f4 0.14
57.62 e4 0.07
57.71 f4 0.07
57.79 e4 0.07
57.87 c4 0.07
57.95 d4 0.14
58.12 a4 0.14
58.28 g4 0.07
58.36 a4 0.07
58.44 g4 0.07
58.53 a4 0.07
58.61 c5 0.14
58.77 a4 0.14
58.94 g4 0.14
59.10 e4 0.14
59.26 f4 0.14
59.43 e4 0.07
59.51 f4 0.07
59.59 e4 0.14
59.76 c4 0.14
59.92 d4 0.14
60.08 c4 0.14
60.25 g3 0.14
60.41 e3 0.14
60.58 d3 0.14
60.74 e3 0.14
60.90 f3 0.14
61.07 g3 0.14
61.23 a3 0.14
61.40 c#4 0.14
61.56 d4 0.14
61.72 e4 0.14
61.89 a3 0.14
61.89 c#4 0.14
62.05 a4 0.14
62.22 g4 0.07
62.30 a4 0.07
62.38 g4 0.07
62.46 a4 0.07
62.55 e4 0.14
62.55 c#5 0.14
62.71 a4 0.14
62.88 g4 0.07
62.96 a4 0.07
63.04 g4 0.14
63.21 a3 0.14
63.21 c#4 0.14
63.37 c#5 0.14
63.54 a4 0.07
63.62 d5 0.07
63.70 a4 0.07
63.78 d5 0.07
63.87 e5 0.14
64.03 d5 0.14
64.19 a4 0.27
64.19 a5 0.27
64.52 d5 0.29
64.87 f5 0.29
65.21 e5 0.29
65.55 d5 0.14
65.72 c5 0.46
66.24 a5 0.29
66.58 e5 0.29
66.92 c5 0.14
67.10 c#5 0.14
67.27 d5 0.29
67.61 f5 0.29
67.95 e5 0.29
68.30 d5 0.14
68.47 c5 0.46
68.98 a5 0.29
69.32 e5 0.14
69.50 d5 0.14
69.67 c5 0.29
70.01 d5 0.29
70.35 f5 0.29
70.70 e5 0.29
71.04 d5 0.14
71.21 c5 0.46
71.72 a5 0.29
72.07 e5 0.29
72.41 c5 0.14
72.58 c#5 0.14
72.75 d5 0.29
73.10 f5 0.29
73.44 e5 0.29
73.78 f5 0.14
73.95 g5 0.45
74.46 f5 0.28
74.79 e5 0.28
75.12 c5 0.14
75.29 c#5 0.14
75.46 f4 0.28
75.46 d5 0.28
75.46 f5 0.28
75.79 a4 0.28
75.79 f5 0.28
75.79 a5 0.28
76.12 g4 0.14
76.12 e5 0.14
76.12 g5 0.14
76.29 f4 0.28
76.29 d5 0.28
76.29 f5 0.28
76.62 e4 0.44
76.62 c5 0.44
76.62 e5 0.44
77.12 c5 0.28
77.12 a5 0.28
77.12 c6 0.28
77.46 g4 0.28
77.46 e5 0.28
77.46 g5 0.28
77.79 e4 0.28
77.79 c5 0.28
77.79 e5 0.28
78.12 f4 0.28
78.12 d5 0.28
78.12 f5 0.28
78.46 a4 0.28
78.46 f5 0.28
78.46 a5 0.28
78.79 g4 0.14
78.79 e5 0.14
78.79 g5 0.14
78.96 a4 0.28
78.96 f5 0.28
78.96 a5 0.28
79.29 a#4 0.44
79.29 g5 0.44
79.29 a#5 0.44
79.79 a4 0.28
79.79 f5 0.28
79.79 a5 0.28
80.12 g4 0.28
80.12 e5 0.28
80.12 g5 0.28
80.46 e4 0.28
80.46 c5 0.28
80.46 e5 0.28
80.79 d4 0.28
80.79 a#4 0.28
80.79 d5 0.28
81.12 f4 0.28
81.12 d5 0.28
81.12 f5 0.28
81.46 e4 0.28
81.46 c5 0.28
81.46 e5 0.28
81.79 d4 0.28
81.79 a#4 0.28
81.79 d5 0.28
82.12 d4 0.28
82.12 a#4 0.28
82.12 d5 0.28
82.46 a#4 0.28
82.46 g5 0.28
82.46 a#5 0.28
82.79 a4 0.28
82.79 e5 0.28
82.79 a5 0.28
83.12 g4 0.28
83.12 d5 0.28
83.12 g5 0.28
83.46 a4 0.14
83.46 e5 0.14
83.46 a5 0.14
83.62 e5 0.07
83.70 c#5 0.07
83.79 a4 0.14
83.95 c#5 0.14
84.11 c#5 0.14
84.11 b5 0.14
84.28 b4 0.14
84.44 c#5 0.14
84.44 a#5 0.14
84.61 c#5 0.44
84.61 g5 0.44
84.61 c#6 0.44
85.10 c#5 0.14
85.10 c#6 0.14
85.26 d5 0.14
85.26 d6 0.14
85.42 e5 0.14
85.42 a5 0.14
85.42 c#6 0.14
85.42 e6 0.14
85.63 c4 0.02
85.65 d4 0.02
85.67 e4 0.02
85.69 f4 0.02
85.71 g4 0.02
85.73 a4 0.02
85.75 b4 0.02
85.77 c5 0.02
85.79 d5 0.02
85.81 e5 0.02
85.83 f5 0.02
85.86 g5 0.02
85.88 a5 0.02
85.90 b5 0.02
85.92 c6 0.02
85.94 d6 0.02
86.08 f4 0.14
86.08 a4 0.14
86.25 d5 0.14
86.25 f5 0.14
86.41 e5 0.07
86.49 f5 0.07
86.58 e5 0.14
86.74 c5 0.14
86.74 g5 0.14
86.90 f5 0.14
87.07 e5 0.07
